应用名称,应用包名,适配前,适配后,适配效果,更新日期,
Legado,io.legado.app.release,小米部分适配,,,,
LX Music,cn.toside.music.mobile,全局固定白色,全局悬浮显示,好,2025-08-21,
,,,,,,
M,,,,,,
Minecraft DLC Free,com.minecraft.free,全局固定白色,全局悬浮显示,好,2025-08-27,
MT 管理器,bin.mt.plus,全局固定白色,全局悬浮显示,好,2025-08-21,
咪咕视频,com.cmcc.cmvideo,未适配,,,,
芒果TV,com.hunantv.imgo.activity,小米部分适配,,,,
米家,com.xiaomi.smarthome,部分页面未适配,部分页面单独适配,好,2025-08-23,
美团,com.sankuai.meituan,小米部分适配,部分页面单独适配,一般,2025-09-11,
美团外卖,com.sankuai.meituan.takeoutnew,小米部分适配,,,,
美团外卖商家版,com.sankuai.meituan.meituanwaimaibusiness,小米部分适配,,,,
美团众包,com.sankuai.meituan.dispatch.crowdsource,未适配,,,,
猫眼,com.sankuai.movie,小米部分适配,,,,
美柚,com.lingan.seeyou,小米部分适配,,,,
米游社,com.mihoyo.hyperion,小米部分适配,部分页面悬浮显示,好,2025-09-13,
,,,,,,
N,,,,,,
NGA 玩家社区,gov.pianzong.androidnga,根据深浅模式填充,主页以外悬浮显示,未测试,2025-09-11,
牛客,com.nowcoder.app.florida,根据深浅模式填充,主页以外悬浮显示,未测试,2025-09-11,
,,,,,,
P,,,,,,
平安口袋银行,com.pingan.paces.ccms,未适配,,,,
平安证券,com.hundsun.winner.pazq,小米部分适配,,,,
拼多多,com.xunmeng.pinduoduo,小米部分适配,部分页面单独适配,好,2025-09-12,
皮皮虾,com.sup.android.superb,小米部分适配,,,,
,,,,,,
Q,,,,,,
QQ,com.tencent.mobileqq,部分页面未适配,部分页面悬浮显示,好,2025-09-13,
QQ浏览器,com.tencent.mtt,未适配,,,,
QQ邮箱,com.tencent.androidqqmail,小米部分适配,,,,
QQ音乐,com.tencent.qqlive,小米部分适配,,,,
乔安智联,com.jooan.qiaoanzhilian,未适配,,,,
前程无忧51Job,com.job.android,未适配,,,,
汽车之家,com.cubic.autohome,小米部分适配,,,,
起点读书,com.qidian.QDReader,小米部分适配,,,,
钱迹,com.mutangtech.qianji,根据深浅模式填充,全局悬浮显示,好,2025-09-11,
取件助手,com.qujianzhushou,未适配,全局填充白色,,,
全民K歌,com.tencent.karaoke,小米部分适配,,,,
七猫免费小说,com.kmxs.reader,小米部分适配,,,,
去哪儿,com.Qunar,小米部分适配,,,,
汽水音乐,com.luna.music,小米部分适配,,,,
企业微信,com.tencent.wework,未适配,,,,
趣智校园,com.klcxkj.zqxy,小米部分适配,,,,
,,,,,,
S,,,,,,
Scene,com.omarea.vtools,全局固定白色,全局悬浮显示,好,2025-08-21,
Seestar,com.zwo.seestar,部分界面填充,全局悬浮显示,好,2025-09-13,
Seetong,com.seetong.app.seetong,小米部分适配,,,,
SmartSports,com.hz.smartsports,小米部分适配,,,,
Soul,cn.soulapp.android,小米部分适配,,,,
Steam,com.valvesoftware.android.steam.community,未适配,,,,
顺丰速运,com.sf.activity,小米部分适配,,,,
识货,com.hupu.shihuo,小米部分适配,,,,
搜狐视频,com.sohu.sohuvideo,小米部分适配,,,,
搜狐新闻,com.sohu.newsclient,小米部分适配,,,,
什么值得买,com.smzdm.client.android,未适配,海量页面单独适配,未测试,2025-09-15,
书旗小说,com.shuqi.controller,未适配,,,,
水印相机,com.tencent.zebra,未适配,,,,
,,,,,,
T,,,,,,
TapTap,com.taptap,小米部分适配,,,,
Telegram,org.telegram.messenger,根据深浅模式填充,全局悬浮显示,无效,2025-09-13,
Thanox,github.tornaco.android.thanos,根据深浅模式填充,全局悬浮显示,好,2025-09-15,
To Do,com.microsoft.todos,根据深浅模式填充,全局悬浮显示,好,2025-09-11,
Twitter,com.twitter.android,小米部分适配,,,,
淘宝,com.taobao.taobao,小米部分适配,部分页面悬浮显示,一般,2025-09-11,
淘宝特价版,com.taobao.litetao,小米部分适配,,,,
淘宝直播,com.taobao.live,小米部分适配,,,,
同花顺,com.hexin.plat.android,根据深浅模式填充,主页以外悬浮显示,未测试,2025-09-11,
铁路 12306,com.MobileTicket,全局填充白色,全局垫高显示,好,2025-09-11,
天猫,com.tmall.wireless,小米部分适配,,,,
天文通,com.twtapp,全局悬浮显示,,,,
腾讯视频,com.tencent.qqlive,未适配,,,,
,,,,,,
U,,,,,,
UC浏览器,com.UCMobile,小米部分适配,,,,
USB摄像头,com.shenyaocn.android.usbcamera,部分界面未适配,全局悬浮显示,好,2025-09-06,
U校园AI版,cn.unipus.cloud,小米部分适配,,,,
,,,,,,
V,,,,,,
Via,mark.via,未适配 / 无需适配,,,,
,,,,,,
W,,,,,,
WiFiman,com.ubnt.usurvey,全局填充黑色,全局悬浮显示,好,2025-08-31,
WPS Office国际版,cn.wps.moffice_eng,小米部分适配,,,,
微博,com.sina.weibo,小米部分适配,,,,
完美图标计划,dev.miuiicons.pedroz,全局固定白色,全局悬浮显示,好,2025-08-21,
唯品会,com.achievo.vipshop,小米部分适配,,,,
微信,com.tencent.mm,部分界面填充,海量页面单独适配,好,2025-09-21,
微信读书,com.tencent.weread,未适配,,,,
文小言,com.baidu.newapp,全局填充颜色,全局悬浮显示,好,2025-08-23,
网易大神,com.netease.gl,小米部分适配,,,,
网易LOFTER,com.lofter.android,小米部分适配,,,,
网易云音乐,com.netease.cloudmusic,未适配,禁用,BUG,2025-09-28,
王者营地,com.tencent.gamehelper.smoba,小米部分适配,,,,
,,,,,,
X,,,,,,
携程旅行,ctrip.android.view,小米部分适配,,,,
西窗烛,com.hustzp.com.xichuangzhu,未适配,全局悬浮显示,未测试,2025-09-15,
学而思,com.xueersi.parentsmeeting,全局填充白色,主页以外悬浮显示,部分无效,2025-08-21,
学而思启蒙,com.tal.imonkey.chinese,全局填充白色,主页以外悬浮显示,好,2025-08-21,
喜番免费短剧,com.kwai.theater,小米部分适配,,,,
西瓜视频,com.ss.android.article.video,小米部分适配,,,,
小黑盒,com.max.xiaoheihe,小米部分适配,部分页面单独适配,好,2025-09-28,
信号检测仪,com.lefan.signal,部分页面适配,主页以外悬浮显示,好,2025-08-21,
小红书,com.xingin.xhs,小米部分适配,部分页面单独适配,,,
迅雷,com.xunlei.downloadprovider,小米部分适配,,,,
小米 WiFi,com.xiaomi.router,全局填充黑色,全局填充白色,好,2025-09-05,
小米电子邮件,com.android.email,全局填充白色,全局悬浮显示,好,2025-08-21,
喜马拉雅,com.ximalaya.ting.android,未适配,,,,
小米商城,com.xiaomi.shop,全局填充白色,主页以外悬浮显示,好,2025-08-23,
小米社区,com.xiaomi.vipaccount,部分页面未适配,部分页面悬浮显示,好,2025-09-03,
小米运动健康,com.mi.health,部分页面未适配,部分页面垫高显示,一般,2025-08-27,
向日葵远程控制,com.oray.sunlogin,全局填充白色,全局悬浮显示,好,2025-08-21,
希望学,com.xiwang.zaixian,小米部分适配,,,,
希望优课,com.xiwang.youke,全局填充白色,主页以外悬浮显示,部分无效,2025-08-21,
学习强国,cn.xuexi.android,小米部分适配,,,,
学习通,com.chaoxing.mobile,小米部分适配,,,,
学信网,cn.com.chsi.chsiapp,小米部分适配,,,,
闲鱼,com.taobao.idlefish,小米部分适配,主页以外悬浮显示,好,2025-09-11,
小猿AI,com.fenbi.android.leo,小米部分适配,,,,
,,,,,,
Y,,,,,,
易班,com.yiban.app,全局填充白色,主页以外悬浮显示,好,2025-09-11,
阅读,io.legado.app.release,全局固定灰色,主页以外悬浮显示,部分无效,2025-08-21,
移动爱家,com.cmri.universalapp,小米部分适配,,,,
有道词典,com.youdao.dict,小米部分适配,,,,
优酷视频,com.youku.phone,小米部分适配,,,,
一木记账,com.wangc.bill,半透明白色,主页以外悬浮显示,无效,2025-09-14,
云闪付,com.unionpay,小米部分适配,,,,
云班课,com.mosoink.teach,未适配,部分页面单独适配,好,2025-09-29,
萤石云视频,com.videogo,小米部分适配,,,,
一淘,com.taobao.etao,小米部分适配,,,,
渝通行,cn.com.whty.cqt,全局填充黑色,全局悬浮显示,一般,2025-08-31,
应用宝,com.tencent.android.qqdownloader,小米部分适配,,,,
音乐标签,com.xjcheng.musictageditor,全局填充白色,全局悬浮显示,好,2025-09-10,
,,,,,,
Z,,,,,,
自动点击器,com.zidongdianji,全局填充白色,主页填充底栏颜色,好,2025-08-21,
支付宝,com.eg.android.AlipayGphone,全局填充颜色,部分页面单独适配,尽力了,2025-09-11,
中国电信,com.ct.client,未适配,全局填充白色,未测试,2025-09-15,
中国大学 MOOC,com.netease.edu.ucmooc,全局填充白色,主页以外悬浮显示,好,2025-09-11,
中国广电,com.ai.obc.cbn.app,未适配,,,,
中国工商银行,com.icbc,小米部分适配,,,,
中国建设银行,com.chinamworld.main,未适配,部分页面单独适配,未测试,2025-09-15,
中国联通,com.sinovatech.unicom.ui,未适配,主页以外悬浮显示,未测试,2025-09-15,
中国农业银行,com.android.bankabc,未适配,,,,
中国移动,com.greenpoint.android.mc10086.activity,未适配,主页以外悬浮显示,未测试,2025-09-15,
中国银行,com.chinamworld.bocmbci,小米部分适配,,,,
知乎,com.zhihu.android,小米部分适配,,,,
智汇福大,cn.edu.fzu.fdxypa,小米部分适配,全局悬浮显示,未测试,2025-09-13,
最会买,com.ruanmei.zuihuimai,未适配,全局悬浮显示，部分页面单独适配,未测试,2025-09-15,
知乎日报,com.zhihu.daily.android,未适配,部分页面悬浮显示,未测试,2025-09-15,
涨乐财富通,com.lphtsccft,小米部分适配,,,,
掌上无畏契约,com.tencent.apps.valorant,小米部分适配,,,,
智学网,com.iflytek.elpmobile.smartlearning,部分界面填充黑色,全局悬浮显示,好,2025-08-21,
智学网教师端,com.iflytek.elpmobile.marktool,部分界面填充黑色,全局悬浮显示,好,2025-08-21,
智学网学生端,com.iflytek.elpmobile.student,部分界面填充黑色,全局悬浮显示,好,2025-08-21,
作业帮,com.baidu.homework,小米部分适配,,,,
志愿汇,com.zzw.october,全局填充白色,主页以外悬浮显示,一般,2025-09-11,
转转,com.wuba.zhuanzhuan,小米部分适配,,,,
